generation,level,species,avg_fitness,best_fitness,best_ever,best_x,attempts,completions,completion_pct,deaths_enemy,deaths_fall,steps_cap,curriculum_stage,curriculum_window_avg_pct
1,Nivel 0 (DP1.state),1,416.25,1818.00,1818.00,1859,16,0,0.0,3,1,1,,
2,Nivel 0 (DP1.state),1,-611.25,475.00,1818.00,475,16,0,0.0,2,0,2,,
3,Nivel 0 (DP1.state),1,-119.88,843.00,1818.00,1323,16,0,0.0,1,0,2,,
4,Nivel 0 (DP1.state),1,265.62,2722.00,2722.00,2722,16,0,0.0,1,0,1,,
5,Nivel 0 (DP1.state),1,21.88,1599.00,2722.00,1639,16,0,0.0,2,1,3,,
6,Nivel 0 (DP1.state),1,412.56,1599.00,2722.00,1639,16,0,0.0,3,1,0,,
7,Nivel 0 (DP1.state),1,-720.06,333.00,2722.00,403,16,0,0.0,3,0,3,,
8,Nivel 0 (DP1.state),1,-154.00,772.00,2722.00,1332,16,0,0.0,3,0,2,,
9,Nivel 0 (DP1.state),1,665.25,2868.00,2868.00,2868,16,0,0.0,5,0,0,,
10,Nivel 0 (DP1.state),1,486.00,2828.00,2868.00,2868,16,0,0.0,3,0,1,,
11,Nivel 0 (DP1.state),1,461.94,1988.00,2868.00,2868,16,0,0.0,4,2,1,,
12,Nivel 0 (DP1.state),1,508.75,1658.00,2868.00,1858,16,0,0.0,5,0,1,,
13,Nivel 0 (DP1.state),1,69.88,1322.00,2868.00,1322,16,0,0.0,6,1,1,,
14,Nivel 0 (DP1.state),1,191.25,1291.00,2868.00,1291,16,0,0.0,4,1,1,,
15,Nivel 0 (DP1.state),1,335.56,1318.00,2868.00,1639,16,0,0.0,2,1,0,,
16,Nivel 0 (DP1.state),1,-187.12,463.00,2868.00,463,16,0,0.0,1,0,2,,
17,Nivel 0 (DP1.state),1,210.19,1611.00,2868.00,1651,16,0,0.0,3,1,0,,
18,Nivel 0 (DP1.state),1,-72.12,1288.00,2868.00,1658,16,0,0.0,5,2,3,,
19,Nivel 0 (DP1.state),1,189.25,1604.00,2868.00,1644,16,0,0.0,6,3,1,,
20,Nivel 0 (DP1.state),1,125.19,1282.00,2868.00,1322,16,0,0.0,5,0,0,,
21,Nivel 0 (DP1.state),1,340.56,1322.00,2868.00,1322,16,0,0.0,6,1,0,,
22,Nivel 0 (DP1.state),1,302.38,1456.00,2868.00,1456,16,0,0.0,2,3,1,,
23,Nivel 0 (DP1.state),1,278.88,1245.00,2868.00,1285,16,0,0.0,2,1,3,,
24,Nivel 0 (DP1.state),1,-211.81,1247.00,2868.00,1287,16,0,0.0,1,2,2,,
25,Nivel 0 (DP1.state),1,384.19,1818.00,2868.00,1858,16,0,0.0,1,2,1,,
26,Nivel 0 (DP1.state),1,296.56,1738.00,2868.00,1858,16,0,0.0,1,1,0,,
27,Nivel 0 (DP1.state),1,-143.31,1698.00,2868.00,1858,16,0,0.0,4,0,2,,
28,Nivel 0 (DP1.state),1,-23.38,2162.00,2868.00,2202,16,0,0.0,3,1,3,,
29,Nivel 0 (DP1.state),1,711.88,2650.00,2868.00,2692,16,0,0.0,3,2,0,,
30,Nivel 0 (DP1.state),1,684.19,2392.00,2868.00,2692,16,0,0.0,6,1,1,,
31,Nivel 0 (DP1.state),1,551.81,1962.00,2868.00,2003,16,0,0.0,5,1,1,,
32,Nivel 0 (DP1.state),1,733.12,1898.00,2868.00,2050,16,0,0.0,5,1,1,,
33,Nivel 0 (DP1.state),1,-140.50,1658.00,2868.00,1858,16,0,0.0,4,0,2,,
34,Nivel 0 (DP1.state),1,-539.94,1224.00,2868.00,1224,16,0,0.0,1,1,3,,
35,Nivel 0 (DP1.state),1,-243.31,248.00,2868.00,308,16,0,0.0,1,0,3,,
36,Nivel 0 (DP1.state),1,-152.25,2050.00,2868.00,2051,16,0,0.0,0,0,3,,
37,Nivel 0 (DP1.state),1,-301.38,2010.00,2868.00,2051,16,0,0.0,5,0,1,,
38,Nivel 0 (DP1.state),1,550.38,2010.00,2868.00,2175,16,0,0.0,2,3,0,,
39,Nivel 0 (DP1.state),1,536.06,2230.00,2868.00,2690,16,0,0.0,3,2,1,,
40,Nivel 0 (DP1.state),1,-1.56,1538.00,2868.00,1859,16,0,0.0,1,1,2,,
41,Nivel 0 (DP1.state),1,612.44,1614.00,2868.00,1860,16,0,0.0,4,2,3,,
42,Nivel 0 (DP1.state),1,690.19,2080.00,2868.00,2690,16,0,0.0,5,2,1,,
43,Nivel 0 (DP1.state),1,615.56,1613.00,2868.00,1939,16,0,0.0,4,2,1,,
44,Nivel 0 (DP1.state),1,371.81,1560.00,2868.00,1680,16,0,0.0,4,1,2,,
45,Nivel 0 (DP1.state),1,55.19,558.00,2868.00,815,16,0,0.0,1,0,0,,
46,Nivel 0 (DP1.state),1,-643.44,815.00,2868.00,815,16,0,0.0,2,0,2,,
47,Nivel 0 (DP1.state),1,569.31,1938.00,2868.00,1938,16,0,0.0,0,1,0,,
48,Nivel 0 (DP1.state),1,172.25,1263.00,2868.00,1279,16,0,0.0,2,0,1,,
49,Nivel 0 (DP1.state),1,-240.81,1280.00,2868.00,1320,16,0,0.0,4,0,1,,
50,Nivel 0 (DP1.state),1,218.44,1415.00,2868.00,1615,16,0,0.0,5,1,4,,
51,Nivel 0 (DP1.state),1,453.25,2002.00,2868.00,2002,16,0,0.0,2,2,3,,
52,Nivel 0 (DP1.state),1,-767.50,1512.00,2868.00,2002,16,0,0.0,2,2,4,,
53,Nivel 0 (DP1.state),1,-558.62,849.00,2868.00,1213,16,0,0.0,2,1,2,,
54,Nivel 0 (DP1.state),1,102.81,3635.00,3635.00,3675,16,0,0.0,0,2,3,,
55,Nivel 0 (DP1.state),1,242.50,2136.00,3635.00,2176,16,0,0.0,4,1,2,,
56,Nivel 0 (DP1.state),1,42.00,491.00,3635.00,491,16,0,0.0,1,0,1,,
57,Nivel 0 (DP1.state),1,-616.25,576.00,3635.00,701,16,0,0.0,0,0,3,,
58,Nivel 0 (DP1.state),1,-97.31,264.00,3635.00,384,16,0,0.0,1,0,2,,
59,Nivel 0 (DP1.state),1,54.75,1245.00,3635.00,1285,16,0,0.0,2,0,3,,
60,Nivel 0 (DP1.state),1,252.88,1320.00,3635.00,1320,16,0,0.0,2,0,1,,
61,Nivel 0 (DP1.state),1,-128.12,1419.00,3635.00,1859,16,0,0.0,2,0,3,,
62,Nivel 0 (DP1.state),1,69.31,1818.00,3635.00,1858,16,0,0.0,0,0,3,,
63,Nivel 0 (DP1.state),1,247.31,1738.00,3635.00,1858,16,0,0.0,0,0,3,,
64,Nivel 0 (DP1.state),1,222.19,1858.00,3635.00,1859,16,0,0.0,0,0,3,,
65,Nivel 0 (DP1.state),1,33.88,1073.00,3635.00,1073,16,0,0.0,1,0,4,,
66,Nivel 0 (DP1.state),1,-743.88,799.00,3635.00,1319,16,0,0.0,1,0,3,,
